,PhraseID,Note,TimeStamp,PieceID
0,PHRASE000558,G4,21/05/23 12:13:22,PIECE00091
1,PHRASE000558,A4,21/05/23 12:13:22,PIECE00091
2,PHRASE000558,G4,21/05/23 12:13:22,PIECE00091
3,PHRASE000558,F4,21/05/23 12:13:22,PIECE00091
4,PHRASE000558,E4,21/05/23 12:13:22,PIECE00091
5,PHRASE000558,E4,21/05/23 12:13:22,PIECE00091
6,PHRASE000558,E4,21/05/23 12:13:22,PIECE00091
7,PHRASE000558,E4,21/05/23 12:13:22,PIECE00091
8,PHRASE000558,END,21/05/23 12:13:22,PIECE00091
9,PHRASE000559,D4,21/05/23 12:13:22,PIECE00091
10,PHRASE000559,E4,21/05/23 12:13:22,PIECE00091
11,PHRASE000559,C4,21/05/23 12:13:22,PIECE00091
12,PHRASE000559,C4,21/05/23 12:13:22,PIECE00091
13,PHRASE000559,E4,21/05/23 12:13:22,PIECE00091
14,PHRASE000559,E4,21/05/23 12:13:32,PIECE00091
15,PHRASE000559,D4,21/05/23 12:13:32,PIECE00091
16,PHRASE000559,END,21/05/23 12:13:22,PIECE00091
17,PHRASE000560,D4,21/05/23 12:13:22,PIECE00091
18,PHRASE000560,E4,21/05/23 12:13:22,PIECE00091
19,PHRASE000560,D4,21/05/23 12:13:22,PIECE00091
20,PHRASE000560,E4,21/05/23 12:13:22,PIECE00091
21,PHRASE000560,F4,21/05/23 12:13:22,PIECE00091
22,PHRASE000560,G4,21/05/23 12:13:22,PIECE00091
23,PHRASE000560,A4,21/05/23 12:13:22,PIECE00091
24,PHRASE000560,G4,21/05/23 12:13:22,PIECE00091
25,PHRASE000560,END,21/05/23 12:13:22,PIECE00091
26,PHRASE000561,D4,21/05/23 12:13:22,PIECE00091
27,PHRASE000561,E4,21/05/23 12:13:22,PIECE00091
28,PHRASE000561,C4,21/05/23 12:13:22,PIECE00091
29,PHRASE000561,E4,21/05/23 12:13:22,PIECE00091
30,PHRASE000561,D4,21/05/23 12:13:22,PIECE00091
31,PHRASE000561,D4,21/05/23 12:13:32,PIECE00091
32,PHRASE000561,C4,21/05/23 12:13:32,PIECE00091
33,PHRASE000561,rest,21/05/23 12:13:32,PIECE00091
